ID,가격(백만원)
TEST_363,39.95064
TEST_364,38.71546
TEST_365,34.76798
TEST_366,47.79433
TEST_367,87.88763
TEST_368,55.708195
TEST_369,77.069374
TEST_370,71.970276
TEST_371,97.685844
TEST_372,41.083183
TEST_373,34.199474
TEST_374,95.32461
TEST_375,120.05961
TEST_376,38.00298
TEST_377,40.723038
TEST_378,39.154747
TEST_379,20.532856
TEST_380,38.714058
TEST_381,22.40803
TEST_382,23.24404
TEST_383,71.41608
TEST_384,24.13254
TEST_385,39.4381
TEST_386,154.82999
TEST_387,39.232796
TEST_388,48.216587
TEST_389,63.872147
TEST_390,47.954906
TEST_391,64.37564
TEST_392,23.395632
TEST_393,124.11356
TEST_394,37.244457
TEST_395,60.070232
TEST_396,34.293304
TEST_397,90.87892
TEST_398,39.332687
TEST_399,27.646826
TEST_400,22.634792
TEST_401,97.400696
TEST_402,33.89673
TEST_403,14.1173
TEST_404,61.49728
TEST_405,38.9455
TEST_406,33.128803
TEST_407,97.81228
TEST_408,77.59058
TEST_409,58.59656
TEST_410,33.310688
TEST_411,61.41352
TEST_412,28.31258
TEST_413,62.131035
TEST_414,67.832
TEST_415,57.30277
TEST_416,38.606567
TEST_417,40.63941
TEST_418,125.07657
TEST_419,128.99496
TEST_420,39.45365
TEST_421,94.16136
TEST_422,57.341587
TEST_423,28.220736
TEST_424,155.0468
TEST_425,61.41352
TEST_426,28.072767
TEST_427,60.122242
TEST_428,37.815907
TEST_429,77.515884
TEST_430,38.838604
TEST_431,67.80885
TEST_432,53.733875
TEST_433,17.740704
TEST_434,72.34173
TEST_435,23.322296
TEST_436,37.128014
TEST_437,77.57099
TEST_438,37.701836
TEST_439,77.67206
TEST_440,75.68449
TEST_441,41.5349
TEST_442,100.69467
TEST_443,73.77017
TEST_444,72.2659
TEST_445,53.117916
TEST_446,33.440918
TEST_447,57.373444
TEST_448,67.877594
TEST_449,80.23921
TEST_450,80.86567
TEST_451,97.74026
TEST_452,15.889819
TEST_453,69.60807
TEST_454,56.56493
TEST_455,27.210426
TEST_456,49.88448
TEST_457,38.271378
TEST_458,28.623308
TEST_459,23.049753
TEST_460,22.557646
TEST_461,97.13304
TEST_462,34.654213
TEST_463,53.56836
TEST_464,79.097626
TEST_465,117.66127
TEST_466,49.929546
TEST_467,157.43048
TEST_468,77.63532
TEST_469,39.081055
TEST_470,62.646217
TEST_471,45.678555
TEST_472,28.467033
TEST_473,38.754147
TEST_474,40.878193
TEST_475,34.329395
TEST_476,118.23511
TEST_477,57.33461
TEST_478,60.193985
TEST_479,65.41854
TEST_480,40.77016
TEST_481,60.894707
TEST_482,150.73738
TEST_483,78.111145
TEST_484,28.101826
TEST_485,52.967297
TEST_486,65.54045
TEST_487,69.82064
TEST_488,28.382956
TEST_489,23.089828
TEST_490,28.441872
TEST_491,38.843548
TEST_492,57.235573
TEST_493,59.960056
TEST_494,77.764885
TEST_495,40.24115
TEST_496,37.775894
TEST_497,78.08455
TEST_498,85.21539
TEST_499,98.32391
TEST_500,60.949394
TEST_501,128.84111
TEST_502,24.154198
TEST_503,71.07231
TEST_504,72.74416
TEST_505,71.92825
TEST_506,160.16205
TEST_507,13.368775
TEST_508,77.602844
TEST_509,57.16301
TEST_510,50.78355
TEST_511,15.406099
TEST_512,37.11048
TEST_513,99.68319
TEST_514,57.207085
TEST_515,38.697777
TEST_516,67.95215
TEST_517,28.10798
TEST_518,69.46294
TEST_519,61.4593
TEST_520,69.9678
TEST_521,94.72714
TEST_522,20.911547
TEST_523,37.153652
TEST_524,47.764397
TEST_525,18.510456
TEST_526,71.45479
TEST_527,71.97214
TEST_528,64.10912
TEST_529,23.201727
TEST_530,124.53826
TEST_531,26.730137
TEST_532,123.72745
TEST_533,53.409092
TEST_534,157.4441
TEST_535,77.534996
TEST_536,33.876015
TEST_537,78.08074
TEST_538,77.56269
TEST_539,28.491266
TEST_540,124.04359
TEST_541,123.18775
TEST_542,22.41023
TEST_543,60.35486
TEST_544,61.44652
TEST_545,120.8332
TEST_546,72.32443
TEST_547,57.235573
TEST_548,22.790276
TEST_549,38.005306
TEST_550,21.873623
TEST_551,23.278435
TEST_552,39.401432
TEST_553,79.96189
TEST_554,22.975164
TEST_555,68.38853
TEST_556,97.872086
TEST_557,45.798115
TEST_558,22.266943
TEST_559,34.827366
TEST_560,77.69006
TEST_561,37.082428
TEST_562,19.278753
TEST_563,97.32807
TEST_564,27.989044
TEST_565,77.589584
TEST_566,71.41608
TEST_567,24.010082
TEST_568,22.915804
TEST_569,78.543884
TEST_570,57.256916
TEST_571,124.5796
TEST_572,27.61839
TEST_573,24.125694
TEST_574,34.7067
TEST_575,39.33702
TEST_576,77.27211
TEST_577,77.83966
TEST_578,118.2457
TEST_579,48.065586
TEST_580,28.471783
TEST_581,57.513145
TEST_582,27.848326
TEST_583,60.66263
TEST_584,72.8917
TEST_585,40.802242
TEST_586,63.924725
TEST_587,28.467033
TEST_588,22.143839
TEST_589,33.852207
TEST_590,159.23404
TEST_591,28.00607
TEST_592,115.02324
TEST_593,87.92213
TEST_594,28.108887
TEST_595,23.968208
TEST_596,34.789505
TEST_597,158.30602
TEST_598,157.44328
TEST_599,23.683584
TEST_600,38.878147
TEST_601,28.382956
TEST_602,18.181145
TEST_603,96.82867
TEST_604,18.899776
TEST_605,77.95327
TEST_606,60.635006
TEST_607,69.21513
TEST_608,33.834522
TEST_609,35.756706
TEST_610,154.97934
TEST_611,118.330734
TEST_612,77.32876
TEST_613,28.264158
TEST_614,24.11375
TEST_615,23.08419
TEST_616,38.674587
TEST_617,100.51131
TEST_618,79.85886
TEST_619,33.310688
TEST_620,57.266243
TEST_621,77.30907
TEST_622,126.13406
TEST_623,63.914722
TEST_624,40.23696
TEST_625,19.155895
TEST_626,34.77575
TEST_627,34.158577
TEST_628,34.29792
TEST_629,77.309
TEST_630,39.45365
TEST_631,23.297983
TEST_632,23.143677
TEST_633,23.995926
TEST_634,39.90105
TEST_635,97.25162
TEST_636,22.18619
TEST_637,128.9749
TEST_638,77.66047
TEST_639,154.84186
TEST_640,156.9853
TEST_641,23.308311
TEST_642,72.14226
TEST_643,28.401306
TEST_644,17.428257
TEST_645,78.34874
TEST_646,74.5549
TEST_647,94.13859
TEST_648,47.959324
TEST_649,33.177444
TEST_650,77.201164
TEST_651,23.895164
TEST_652,15.835827
TEST_653,27.687159
TEST_654,77.726036
TEST_655,78.2606
TEST_656,37.242172
TEST_657,28.341871
TEST_658,23.180088
TEST_659,55.70791
TEST_660,69.393486
TEST_661,121.52123
TEST_662,65.63501
TEST_663,160.70586
TEST_664,47.872723
TEST_665,160.1545
TEST_666,57.08481
TEST_667,115.09673
TEST_668,38.00298
TEST_669,27.003605
TEST_670,77.70216
TEST_671,53.220562
TEST_672,53.56836
TEST_673,72.33434
TEST_674,39.575977
TEST_675,17.016466
TEST_676,128.84111
TEST_677,60.75501
TEST_678,80.87109
TEST_679,99.55235
TEST_680,97.68327
TEST_681,48.18836
TEST_682,28.674925
TEST_683,77.35369
TEST_684,37.712326
TEST_685,33.340347
TEST_686,39.142155
TEST_687,29.725073
TEST_688,59.911545
TEST_689,114.94515
TEST_690,64.04338
TEST_691,120.04704
TEST_692,23.3741
TEST_693,23.110909
TEST_694,71.41663
TEST_695,74.75468
TEST_696,97.750595
TEST_697,37.82397
TEST_698,34.68722
TEST_699,57.341278
TEST_700,85.194534
TEST_701,28.121426
TEST_702,38.867
TEST_703,95.09278
TEST_704,119.60618
TEST_705,41.56389
TEST_706,72.29665
TEST_707,26.7065
TEST_708,38.030228
TEST_709,156.01389
TEST_710,157.83177
TEST_711,21.991316
TEST_712,67.92957
TEST_713,71.270004
TEST_714,28.467033
TEST_715,72.3249
TEST_716,127.724144
TEST_717,23.939224
TEST_718,41.158085
TEST_719,96.470795
TEST_720,96.572266
TEST_721,58.59656
TEST_722,53.92908
TEST_723,59.75291
TEST_724,37.664055
TEST_725,37.14978
TEST_726,40.744843
TEST_727,78.22324
TEST_728,36.826355
TEST_729,36.87308
TEST_730,76.09198
TEST_731,34.19402
TEST_732,23.30184
TEST_733,60.75245
TEST_734,26.77341
TEST_735,97.82491
TEST_736,48.07755
TEST_737,118.20339
TEST_738,39.508564
TEST_739,26.944143
TEST_740,27.984211
TEST_741,24.025461
TEST_742,19.285301
TEST_743,63.80393
TEST_744,35.35326
TEST_745,22.160732
TEST_746,72.273254
TEST_747,77.75381
TEST_748,69.82064
TEST_749,22.350964
TEST_750,61.49728
TEST_751,69.77236
TEST_752,78.20923
TEST_753,17.428257
TEST_754,90.29268
TEST_755,28.153852
TEST_756,81.04383
TEST_757,45.185127
TEST_758,119.87235
TEST_759,33.177444
TEST_760,39.234535
TEST_761,47.489967
TEST_762,47.962738
TEST_763,28.580988
TEST_764,74.05728
TEST_765,97.72582
TEST_766,156.12828
TEST_767,65.327515
TEST_768,22.571129
TEST_769,88.8296
TEST_770,34.613243
TEST_771,28.636044
TEST_772,32.895023
TEST_773,21.51668
TEST_774,40.23696
TEST_775,34.09805
TEST_776,48.035927
TEST_777,95.19914
TEST_778,22.413443
TEST_779,72.234924
TEST_780,30.779493
TEST_781,67.97301
TEST_782,118.6214
TEST_783,17.701735
TEST_784,157.89455
TEST_785,61.045918
TEST_786,63.989765
TEST_787,123.86833
TEST_788,79.89469
TEST_789,72.89584
TEST_790,60.347324
TEST_791,22.952263
TEST_792,157.88722
TEST_793,150.7197
TEST_794,93.35808
TEST_795,118.30316
TEST_796,55.708195
TEST_797,22.664251
TEST_798,21.272766
TEST_799,45.876205
TEST_800,22.75579
TEST_801,61.64096
TEST_802,38.54516
TEST_803,28.955784
TEST_804,101.53369
TEST_805,45.737244
TEST_806,26.725832
TEST_807,67.90777
TEST_808,65.41854
TEST_809,100.29088
TEST_810,156.1345
TEST_811,37.814274
TEST_812,160.4529
TEST_813,80.99424
TEST_814,28.101826
TEST_815,57.266876
TEST_816,23.394806
TEST_817,29.613941
TEST_818,156.23578
TEST_819,97.71837
TEST_820,22.559074
TEST_821,27.664831
TEST_822,74.443924
TEST_823,34.0775
TEST_824,65.32208
TEST_825,54.7473
TEST_826,37.709064
TEST_827,37.131054
TEST_828,125.06742
TEST_829,150.73738
TEST_830,22.198685
TEST_831,118.467155
TEST_832,114.915764
TEST_833,34.427963
TEST_834,34.775112
TEST_835,77.069374
TEST_836,58.764683
TEST_837,57.35576
TEST_838,97.79653
TEST_839,48.149075
TEST_840,23.234602
TEST_841,150.80475
TEST_842,38.7357
TEST_843,38.71546
TEST_844,66.11489
TEST_845,22.363544
